CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_207,37.2409464014114,127.004142542721,956020.009031845,1915902.03303924
Cell_208,37.2416759122189,127.229631592179,976020.009031845,1915902.03303924
Cell_209,37.2419760542411,127.45512637436,996020.009031845,1915902.03303924
Cell_210,37.2418468076923,127.680622108039,1016020.00903184,1915902.03303924
Cell_211,37.2412881810925,127.906114011862,1036020.00903184,1915902.03303924
Cell_212,37.2403002112667,128.131597304986,1056020.00903184,1915902.03303924
Cell_213,37.2388829633376,128.357067207709,1076020.00903184,1915902.03303924
Cell_214,37.2370365307137,128.582518942112,1096020.00903184,1915902.03303924
Cell_215,37.2347610350714,128.807947732687,1116020.00903184,1915902.03303924
Cell_216,37.232056626333,129.033348806971,1136020.00903184,1915902.03303924
Cell_217,37.2289234826383,129.258717396182,1156020.00903184,1915902.03303924
Cell_218,37.3965378893562,126.890141555787,946020.009031845,1933222.54111492
Cell_219,37.3974873859839,127.116092776565,966020.009031845,1933222.54111492
Cell_220,37.3980051162648,127.342052186549,986020.009031845,1933222.54111492
Cell_221,37.3980910459713,127.568014965904,1006020.00903184,1933222.54111492
Cell_222,37.3977451694221,127.793976294341,1026020.00903184,1933222.54111492
Cell_223,37.396967509484,128.019931351766,1046020.00903184,1933222.54111492
Cell_224,37.3957581175673,128.245875318925,1066020.00903184,1933222.54111492
Cell_225,37.3941170736162,128.471803378045,1086020.00903184,1933222.54111492
Cell_226,37.3920444860936,128.697710713482,1106020.00903184,1933222.54111492
Cell_227,37.3895404919615,128.923592512359,1126020.00903184,1933222.54111492
Cell_228,37.3866052566545,129.149443965212,1146020.00903184,1933222.54111492
Cell_229,37.5520107412162,126.775665475328,936020.009031845,1950543.04919061
Cell_230,37.5531826525212,127.002081190699,956020.009031845,1950543.04919061
Cell_231,37.5539203975681,127.228507591454,976020.009031845,1950543.04919061
Cell_232,37.5542239274431,127.454939818835,996020.009031845,1950543.04919061
Cell_233,37.5540932220206,127.681373013299,1016020.00903184,1950543.04919061
Cell_234,37.5535282899672,127.907802315173,1036020.00903184,1950543.04919061
Cell_235,37.5525291687397,128.134222865309,1056020.00903184,1950543.04919061
Cell_236,37.5510959245784,128.360629805734,1076020.00903184,1950543.04919061
Cell_237,37.5492286524946,128.58701828031,1096020.00903184,1950543.04919061
Cell_238,37.5469274762526,128.813383435379,1116020.00903184,1950543.04919061
Cell_239,37.5441925483466,129.039720420423,1136020.00903184,1950543.04919061
Cell_240,37.7073630967393,126.660709464109,926020.009031845,1967863.5572663
Cell_241,37.7087598627044,126.887591995754,946020.009031845,1967863.5572663
Cell_242,37.7097200602406,127.114487749304,966020.009031845,1967863.5572663
Cell_243,37.7102436255009,127.34139182677,986020.009031845,1967863.5572663
Cell_244,37.7103305236694,127.568299329032,1006020.00903184,1967863.5572663
Cell_245,37.7099807489673,127.795205356509,1026020.00903184,1967863.5572663
Cell_246,37.7091943246542,128.022105009817,1046020.00903184,1967863.5572663
Cell_247,37.7079713030241,128.248993390438,1066020.00903184,1967863.5572663
Cell_248,37.7063117653948,128.475865601379,1086020.00903184,1967863.5572663
Cell_249,37.7042158220932,128.702716747838,1106020.00903184,1967863.5572663
Cell_250,37.7016836124341,128.929541937862,1126020.00903184,1967863.5572663
Cell_251,37.8478929447501,125.40891992482,816020.009031845,1985184.06534199
Cell_252,37.8580284828572,126.090632448006,876020.009031845,1985184.06534199
Cell_253,37.8605301460867,126.317937713491,896020.009031845,1985184.06534199
Cell_254,37.8625930823669,126.54526864634,916020.009031845,1985184.06534199
Cell_255,37.8642171541699,126.772620313997,936020.009031845,1985184.06534199
