CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_080,35.2508823362073,127.318846076173,983520.009031845,1695065.5550742
Cell_081,35.2510168280706,127.483731376817,998520.009031845,1695065.5550742
Cell_082,35.2509266672689,127.648616857477,1013520.00903184,1695065.5550742
Cell_083,35.2506118570303,127.81350069367,1028520.00903184,1695065.5550742
Cell_084,35.2500724086258,127.978381061024,1043520.00903184,1695065.5550742
Cell_085,35.2493083413685,128.14325613541,1058520.00903184,1695065.5550742
Cell_086,35.2483196826112,128.30812409306,1073520.00903184,1695065.5550742
Cell_087,35.2471064677441,128.4729831107,1088520.00903184,1695065.5550742
Cell_088,35.2456687401912,128.63783136567,1103520.00903184,1695065.5550742
Cell_089,35.2440065514057,128.802667036052,1118520.00903184,1695065.5550742
Cell_090,35.2421199608653,128.967488300797,1133520.00903184,1695065.5550742
Cell_091,35.2400090360661,129.132293339847,1148520.00903184,1695065.5550742
Cell_092,35.3632404760863,126.410492598177,901020.009031845,1708055.93613097
Cell_093,35.3646161697247,126.575581967905,916020.009031845,1708055.93613097
Cell_094,35.3657663674816,126.740681607622,931020.009031845,1708055.93613097
Cell_095,35.3666910281058,126.905789683957,946020.009031845,1708055.93613097
Cell_096,35.3673901184315,127.070904362957,961020.009031845,1708055.93613097
Cell_097,35.367863613382,127.236023810208,976020.009031845,1708055.93613097
Cell_098,35.3681114959716,127.401146190969,991020.009031845,1708055.93613097
Cell_099,35.3681337573078,127.566269670294,1006020.00903184,1708055.93613097
Cell_100,35.3679303965921,127.731392413162,1021020.00903184,1708055.93613097
Cell_101,35.3675014211198,127.896512584602,1036020.00903184,1708055.93613097
Cell_102,35.3668468462795,128.061628349821,1051020.00903184,1708055.93613097
Cell_103,35.3659666955516,128.226737874332,1066020.00903184,1708055.93613097
Cell_104,35.3648610005059,128.391839324081,1081020.00903184,1708055.93613097
Cell_105,35.3635298007983,128.556930865572,1096020.00903184,1708055.93613097
Cell_106,35.3619731441671,128.722010665995,1111020.00903184,1708055.93613097
Cell_107,35.3601910864281,128.887076893354,1126020.00903184,1708055.93613097
Cell_108,35.3581836914691,129.052127716592,1141020.00903184,1708055.93613097
Cell_109,35.3559510312433,129.217161305718,1156020.00903184,1708055.93613097
Cell_110,35.4810701507647,126.491577257359,908520.009031845,1721046.31718774
Cell_111,35.4823385467901,126.656911061706,923520.009031845,1721046.31718774
Cell_112,35.4833804532034,126.822254273574,938520.009031845,1721046.31718774
Cell_113,35.4841958325611,126.987605048678,953520.009031845,1721046.31718774
Cell_114,35.4847846555578,127.152961542201,968520.009031845,1721046.31718774
